record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1,7,16,1977,2,NL,M,32,
2,7,16,1977,3,NL,M,33,
3,7,16,1977,2,DM,F,37,
4,7,16,1977,7,DM,M,36,
5,7,16,1977,3,DM,M,35,
6,7,16,1977,1,PF,M,14,
7,7,16,1977,2,PE,F,,
8,7,16,1977,1,DM,M,37,
9,7,16,1977,1,DM,F,34,
10,7,16,1977,6,PF,F,20,
11,7,16,1977,5,DS,F,53,
12,7,16,1977,7,DM,M,38,
13,7,16,1977,3,DM,M,35,
14,7,16,1977,8,DM,,,
15,7,16,1977,6,DM,F,36,
16,7,16,1977,4,DM,F,36,
17,7,16,1977,3,DS,F,48,
18,7,16,1977,2,PP,M,22,
19,7,16,1977,4,PF,,,
20,7,17,1977,11,DS,F,48,
21,7,17,1977,14,DM,F,34,
22,7,17,1977,15,NL,F,31,
23,7,17,1977,13,DM,M,36,
24,7,17,1977,13,SH,M,21,
25,7,17,1977,9,DM,M,35,
26,7,17,1977,15,DM,M,31,
27,7,17,1977,15,DM,M,36,
28,7,17,1977,11,DM,M,38,
29,7,17,1977,11,PP,M,,
30,7,17,1977,10,DS,F,52,
31,7,17,1977,15,DM,F,37,
32,7,17,1977,10,DM,F,35,
33,7,17,1977,11,DM,F,36,
34,7,17,1977,17,DM,,,
35,7,17,1977,13,DM,F,38,
36,7,17,1977,16,OT,F,22,
37,7,17,1977,11,DM,F,35,
38,7,17,1977,17,NL,M,33,
39,7,17,1977,11,DM,F,36,
40,7,18,1977,20,DM,M,36,
41,7,18,1977,23,DM,F,34,
42,7,18,1977,18,DS,F,46,
43,7,18,1977,21,DM,M,36,
44,7,18,1977,18,DM,F,35,
45,7,18,1977,22,DM,M,36,
46,7,18,1977,19,DM,M,35,
47,7,18,1977,18,DM,M,32,
48,7,18,1977,20,DM,F,36,
49,7,18,1977,12,PP,F,17,
50,7,18,1977,18,DM,F,32,
51,7,18,1977,21,DM,F,36,
52,7,18,1977,12,DM,F,26,
53,7,18,1977,22,DM,M,36,
54,7,18,1977,18,DM,M,37,
55,7,18,1977,23,DM,M,36,
56,7,18,1977,20,DM,M,34,
57,7,18,1977,22,DM,,,
58,7,18,1977,12,DS,M,45,
59,7,18,1977,19,DM,M,33,
60,7,18,1977,19,PE,M,20,
61,7,18,1977,23,DM,M,35,
62,7,18,1977,19,DM,M,35,
63,8,19,1977,3,DM,M,35,40
64,8,19,1977,7,DM,M,37,48
65,8,19,1977,4,DM,F,34,29
66,8,19,1977,4,DM,F,35,46
67,8,19,1977,7,DM,M,35,36
68,8,19,1977,8,DO,F,32,52
69,8,19,1977,2,PF,M,15,8
70,8,19,1977,3,OX,F,21,22
71,8,19,1977,7,DM,F,36,35
72,8,19,1977,2,NL,M,31,
73,8,19,1977,3,DS,F,44,
74,8,19,1977,8,PF,M,12,7
75,8,19,1977,8,DM,F,32,22
76,8,19,1977,9,DS,F,47,
77,8,19,1977,4,SS,,,
78,8,19,1977,1,PF,M,16,9
79,8,19,1977,7,DM,F,34,42
80,8,19,1977,1,DS,M,48,
81,8,19,1977,4,PF,F,14,8
82,8,19,1977,4,DM,F,35,41
83,8,20,1977,6,DM,F,37,37
84,8,20,1977,19,DM,F,35,43
85,8,20,1977,23,DM,F,35,41
86,8,20,1977,18,DM,F,33,40
87,8,20,1977,5,PF,F,11,9
88,8,20,1977,18,DM,F,35,45
89,8,20,1977,12,PP,F,20,15
90,8,20,1977,18,DM,M,35,29
91,8,20,1977,11,DS,F,50,
92,8,20,1977,6,DM,M,35,39
93,8,20,1977,18,DM,,,42
94,8,20,1977,18,DM,F,36,43
95,8,20,1977,23,DM,M,38,46
96,8,20,1977,12,DM,M,36,41
97,8,20,1977,18,DM,M,36,41
98,8,20,1977,5,DM,M,38,40
99,8,20,1977,11,DM,M,37,45
